Center-X(mm),Center-Y(mm),Comment,Description,Designator,Footprint,Layer,LibRef,Quantity,Rotation,Variant,Revision,Trenz-Stock,Value,AN,Case,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,Ref-X(mm),Ref-Y(mm)
"6.88","0.9","LED Green SML-P11MTT86","LED Grün SML-P11MTT86 SMD","D2","LEDC1006X25N_GREEN","Top","24211","1","180","TE0722-01-FULL","01","","","24211","1005 (0402)","SMT","Yes","","","","","6.88","0.9"
"4.27","0.95","Chip LED 0603 Infrared","Chip LED 0603 Infrared","D3","chipLED_0603_Red","Top","26721","1","0","TE0722-01-FULL","01","","","26721","0603","SMT","Yes","","","","1.2","4.27","0.95"
"11.06","24.28","LED, RGB, 3528 PLCC","LED, RGB, 3528 PLCC","D4","PLCC150P360X280X190-4N","Top","26299","1","180","TE0722-01-FULL","01","","","26299","3528 PLCC","SMT","","","","","","11.06","24.28"
"3.842","24.783","LED Red SML-P11UTT86","LED Rot SML-P11UTT86 SMD","D5","LEDC1006X25N_RED","Top","24212","1","270","TE0722-01-FULL","01","","","24212","1005 (0402)","SMT","Yes","","","","","3.842","24.783"
"13.83","0.88","LED Red SML-P11UTT86","LED Rot SML-P11UTT86 SMD","D6","LEDC1006X25N_RED","Top","24212","1","180","TE0722-01-FULL","01","","","24212","1005 (0402)","SMT","Yes","","","","","13.83","0.88"
"9.02","18.15","microSD Card Header with Detect Switch","microSD Card Header with Detect Switch","J8","47309-2651","Top","24994","1","0","TE0722-01-FULL","01","Yes","","24994","microSD","SMT","Yes","","","","","9.02","18.15"
"6.77","6.98","BKP0603HS121-T","Ferritdurchführung SMD 0201","L4","INDC0603X33N","Bottom","25393","1","270","TE0722-01-FULL","01","Yes","","25393","0603 (0201)","SMT","Yes","","25%","","","6.77","6.98"
"6.21","14.19","BKP0603HS121-T","Ferritdurchführung SMD 0201","L5","INDC0603X33N","Bottom","25393","1","90","TE0722-01-FULL","01","Yes","","25393","0603 (0201)","SMT","Yes","","25%","","","6.21","14.19"
"13.16","24.88","200K","WID SMD 200K 1% 0,063W","R1","RESC1005X40N","Bottom","23846","1","0","TE0722-01-FULL","01","","200K","23846","1005 (0402)","SMT","Yes","","1%","","","13.16","24.88"
"13.16","25.78","301K","WID SMD 301K 1% 0,063W","R2","RESC1005X40N","Bottom","26224","1","180","TE0722-01-FULL","01","","301k","26224","1005 (0402)","SMT","","","1%","","","13.16","25.78"
"5.96","6.98","4K7","WID SMD 4K7 1% 0,05W","R3","RESC0603X26N","Bottom","25242","1","90","TE0722-01-FULL","01","","4.7K","25242","0603 (0201)","SMT","Yes","","1%","","","5.96","6.98"
"13.63","6.78","4K7","WID SMD 4K7 1% 0,05W","R4","RESC0603X26N","Bottom","25242","1","0","TE0722-01-FULL","01","","4.7K","25242","0603 (0201)","SMT","Yes","","1%","","","13.63","6.78"
"8.68","0.8","470R","WID SMD 470R 1% 0,063W","R5","RESC1005X40N","Top","22769","1","0","TE0722-01-FULL","01","","470","22769","1005 (0402)","SMT","Yes","","1%","","","8.68","0.8"
"13.85","26.67","33R","WID SMD 33R 1% 0,063W","R6","RESC1005X40N","Top","22770","1","90","TE0722-01-FULL","01","","33","22770","1005 (0402)","SMT","Yes","","1%","","","13.85","26.67"
"10.23","26.99","19K1","WID SMD 19K1 1% 0,05W","R7","RESC0603X26N","Top","25053","1","0","TE0722-01-FULL","01","","19.1K","25053","0603 (0201)","SMT","","","1%","","","10.23","26.99"
"14.3","4.81","19K1","WID SMD 19K1 1% 0,05W","R8","RESC0603X26N","Bottom","25053","1","270","TE0722-01-FULL","01","","19.1K","25053","0603 (0201)","SMT","","","1%","","","14.3","4.81"
"3.98","2.08","19K1","WID SMD 19K1 1% 0,05W","R9","RESC0603X26N","Bottom","25053","1","180","TE0722-01-FULL","01","","19.1K","25053","0603 (0201)","SMT","","","1%","","","3.98","2.08"
"4.19","3.91","19K1","WID SMD 19K1 1% 0,05W","R10","RESC0603X26N","Bottom","25053","1","270","TE0722-01-FULL","01","","19.1K","25053","0603 (0201)","SMT","","","1%","","","4.19","3.91"
"14.3","2.32","19K1","WID SMD 19K1 1% 0,05W","R11","RESC0603X26N","Bottom","25053","1","270","TE0722-01-FULL","01","","19.1K","25053","0603 (0201)","SMT","","","1%","","","14.3","2.32"
"14.3","3.57","19K1","WID SMD 19K1 1% 0,05W","R12","RESC0603X26N","Bottom","25053","1","90","TE0722-01-FULL","01","","19.1K","25053","0603 (0201)","SMT","","","1%","","","14.3","3.57"
"10.25","0.8","19K1","WID SMD 19K1 1% 0,05W","R13","RESC0603X26N","Top","25053","1","0","TE0722-01-FULL","01","","19.1K","25053","0603 (0201)","SMT","","","1%","","","10.25","0.8"
"3.61","7.15","19K1","WID SMD 19K1 1% 0,05W","R14","RESC0603X26N","Bottom","25053","1","180","TE0722-01-FULL","01","","19.1K","25053","0603 (0201)","SMT","","","1%","","","3.61","7.15"
"10.23","27.8","10K","WID SMD 10K 1% 0,05W","R15","RESC0603X26N","Top","24914","1","180","TE0722-01-FULL","01","","10K","24914","0603 (0201)","SMT","Yes","","1%","","","10.23","27.8"
"8.24","23.25","10K","WID SMD 10K 1% 0,05W","R16","RESC0603X26N","Top","24914","1","0","TE0722-01-FULL","01","","10K","24914","0603 (0201)","SMT","Yes","","1%","","","8.24","23.25"
"4.97","27.18","19K1","WID SMD 19K1 1% 0,05W","R17","RESC0603X26N","Top","25053","1","270","TE0722-01-FULL","01","","19.1K","25053","0603 (0201)","SMT","","","1%","","","4.97","27.18"
"9.97","29.04","19K1","WID SMD 19K1 1% 0,05W","R18","RESC0603X26N","Top","25053","1","90","TE0722-01-FULL","01","","19.1K","25053","0603 (0201)","SMT","","","1%","","","9.97","29.04"
"8.24","24.14","10K","WID SMD 10K 1% 0,05W","R19","RESC0603X26N","Top","24914","1","0","TE0722-01-FULL","01","","10K","24914","0603 (0201)","SMT","Yes","","1%","","","8.24","24.14"
"3.718","27.012","470R","WID SMD 470R 1% 0,063W","R20","RESC1005X40N","Top","22769","1","180","TE0722-01-FULL","01","","470","22769","1005 (0402)","SMT","Yes","","1%","","","3.718","27.012"
"11.73","0.85","470R","WID SMD 470R 1% 0,063W","R22","RESC1005X40N","Top","22769","1","180","TE0722-01-FULL","01","","470","22769","1005 (0402)","SMT","Yes","","1%","","","11.73","0.85"
"8.39","19.01","Testpoint 0.8mm","Testpoint 0.8mm","TP7","TP_0.8mm","Bottom","26289","1","90","TE0722-01-FULL","01","","","26289","","1","","","","","","8.39","19.01"
"4.61","20.58","Testpoint 0.8mm","Testpoint 0.8mm","TP8","TP_0.8mm","Bottom","26289","1","90","TE0722-01-FULL","01","","","26289","","1","","","","","","4.61","20.58"
"8.95","8.35","XC7Z010-1CLG225C","XC7Z010-1CLG225C","U1","CLG225","Top","26308","1","90","TE0722-01-FULL","01","","","26308","CLG225","SMT","","","","","","8.95","8.35"
"11.95","21.9","EN5311QI","EN5311QI","U2","EN5311QI","Bottom","25492","1","90","TE0722-01-FULL","01","Yes","","25492","QFN20","SMT","Yes","","","","","11.95","21.9"
"6.75","27.25","EN5311QI","EN5311QI","U3","EN5311QI","Bottom","25492","1","90","TE0722-01-FULL","01","Yes","","25492","QFN20","SMT","Yes","","","","","6.75","27.25"
"6","24.13","Si1143-A11-GMR","Si1143-A11-GMR","U4","QFN50P200X200X75-10N","Top","26318","1","180","TE0722-01-FULL","01","","","26318","QFN10","AMT","","","","","","6","24.13"
"9.25","3.25","S25FL127SABMFV10","S25FL127SABMFV10 automotive SO8","U5","SOIC127P790X216-8N","Bottom","26078","1","0","TE0722-01-FULL","01","","","26078","SO8W","SMT","","","","","","9.25","3.25"
"7.47","28.32","TPS3106K33DBVR","TPS3106K33DBVR","U6","SOT95P280X145-6N","Top","26439","1","0","TE0722-01-FULL","01","","","26439","SOT23-6","SMT","","","","","","7.47","28.32"
"4.36","13.54","SiT8008AI-73-XXS-33.333333E","SiT8008AI-73-XXS-33.333333E MEMS Oszillator 33.333333MHz","U8","2016","Bottom","25023","1","90","TE0722-01-FULL","01","Yes","33M","25023","2.0  x 1.6mm","SMT","Yes","","","","","4.36","13.54"
